sexo,cpro,grupo_edad,poblacion_total,poblacion_agregada,porcentaje
Mujeres,5,30-39,6.920999999999999,71.911,9.624396823851704
Mujeres,5,40-49,9.95,71.911,13.836547955111179
Mujeres,5,50-59,11.477,71.911,15.960006118674471
Mujeres,5,60-69,9.417,71.911,13.095353979224319
Mujeres,5,70-79,8.082999999999998,71.911,11.24028312775514
Mujeres,5,80+,9.112,71.911,12.671218589645534
Hombres,6,0-9,29.257,321.43500000000006,9.10199573786302
Hombres,6,10-19,34.574,321.43500000000006,10.756140432746898
Hombres,6,20-29,35.894999999999996,321.43500000000006,11.167109991133508
Hombres,6,30-39,41.525000000000006,321.43500000000006,12.918630516278562
Hombres,6,40-49,49.524,321.43500000000006,15.407158523496195
Hombres,6,50-59,51.338,321.43500000000006,15.971502792166376
Hombres,6,60-69,38.16,321.43500000000006,11.871762564748702
Hombres,6,70-79,25.283,321.43500000000006,7.865664908924043
Hombres,6,80+,15.879,321.43500000000006,4.940034532642679
Mujeres,6,0-9,27.569,327.79299999999995,8.410490767038956
Mujeres,6,10-19,32.999,327.79299999999995,10.067024006003791
Mujeres,6,20-29,34.510999999999996,327.79299999999995,10.528290720058084
Mujeres,6,30-39,39.282000000000004,327.79299999999995,11.983782448069363
Mujeres,6,40-49,48.414,327.79299999999995,14.769686967079837
Mujeres,6,50-59,50.837,327.79299999999995,15.508872977763408
Mujeres,6,60-69,37.708,327.79299999999995,11.503601358174215
Mujeres,6,70-79,29.903,327.79299999999995,9.122525496273564
Mujeres,6,80+,26.57,327.79299999999995,8.105725259538795
Hombres,7,0-9,45.252,471.88399999999996,9.589644912732792
Hombres,7,10-19,54.069,471.88399999999996,11.45811258699172
Hombres,7,20-29,51.83,471.88399999999996,10.98363157047071
Hombres,7,30-39,65.386,471.88399999999996,13.856371481126716
Hombres,7,40-49,82.691,471.88399999999996,17.523586305108886
Hombres,7,50-59,70.099,471.88399999999996,14.855133888837088
Hombres,7,60-69,51.113,471.88399999999996,10.831687448610253
Hombres,7,70-79,34.109,471.88399999999996,7.228259487501167
Hombres,7,80+,17.335,471.88399999999996,3.6735723186206783
Mujeres,7,0-9,42.574,473.091,8.999114335297014
Mujeres,7,10-19,49.92400000000001,473.091,10.552726642442998
Mujeres,7,20-29,49.238,473.091,10.407722827109373
Mujeres,7,30-39,62.491,473.091,13.209086623926474
Mujeres,7,40-49,77.69,473.091,16.421787774445086
Mujeres,7,50-59,69.131,473.091,14.612622095960395
Mujeres,7,60-69,53.369,473.091,11.280916356472645
Mujeres,7,70-79,39.203,473.091,8.28656643225088
Mujeres,7,80+,29.471,473.091,6.229456912095136
Hombres,8,0-9,228.13400000000001,2371.7129999999997,9.618954738621412
Hombres,8,10-19,278.735,2371.7129999999997,11.752475953034791
Hombres,8,20-29,233.836,2371.7129999999997,9.85937168620318
Hombres,8,30-39,269.73,2371.7129999999997,11.372792576504832
Hombres,8,40-49,407.616,2371.7129999999997,17.186565153540922
Hombres,8,50-59,358.73900000000003,2371.7129999999997,15.125734015877978
Hombres,8,60-69,273.613,2371.7129999999997,11.536513903663725
Hombres,8,70-79,203.515,2371.7129999999997,8.580928636812295
Hombres,8,80+,117.795,2371.7129999999997,4.9666633357408765
Mujeres,8,0-9,215.01999999999998,2513.981,8.552968379633736
Mujeres,8,10-19,261.229,2513.981,10.39104909702977
Mujeres,8,20-29,221.52100000000002,2513.981,8.811562219443982
Mujeres,8,30-39,268.605,2513.981,10.684448291375311
Mujeres,8,40-49,404.572,2513.981,16.09288216577611
Mujeres,8,50-59,369.905,2513.981,14.713913907861672
Mujeres,8,60-69,310.38800000000003,2513.981,12.346473581144805
Mujeres,8,70-79,254.806,2513.981,10.135557905966671
Mujeres,8,80+,207.935,2513.981,8.271144451767933
Hombres,9,0-9,13.147000000000002,163.67999999999998,8.032135874877813
Hombres,9,10-19,15.459,163.67999999999998,9.444648093841643
Hombres,9,20-29,14.167000000000002,163.67999999999998,8.655303030303033
Hombres,9,30-39,17.289,163.67999999999998,10.56268328445748
Hombres,9,40-49,25.384999999999998,163.67999999999998,15.508919843597264
Hombres,9,50-59,26.897,163.67999999999998,16.432673509286413
Hombres,9,60-69,23.680999999999997,163.67999999999998,14.46786412512219
Hombres,9,70-79,16.673000000000002,163.67999999999998,10.186339198435974
Hombres,9,80+,10.982,163.67999999999998,6.709433040078201
Mujeres,9,0-9,12.141,162.556,7.468810748295971
Mujeres,9,10-19,14.469999999999999,162.556,8.901547774305469
Mujeres,9,20-29,12.859,162.556,7.910504687615344
Mujeres,9,30-39,15.707,162.556,9.662516302074362
Mujeres,9,40-49,23.848,162.556,14.670636580624521
Mujeres,9,50-59,25.705,162.556,15.813012131204013
Mujeres,9,60-69,22.016,162.556,13.54364034548094
Mujeres,9,70-79,17.471,162.556,10.747680799232263
Mujeres,9,80+,18.339,162.556,11.281650631167103
Hombres,10,0-9,14.221,186.486,7.625773516510622
Hombres,10,10-19,18.261,186.486,9.792155979537338
Hombres,10,20-29,19.093,186.486,10.238302070932939
Hombres,10,30-39,22.259,186.486,11.936016644681102
Hombres,10,40-49,27.322000000000003,186.486,14.650965756142554
Hombres,10,50-59,31.48,186.486,16.8806237465547
Hombres,10,60-69,25.479,186.486,13.662687815707345
Hombres,10,70-79,16.14,186.486,8.654805186448314
Hombres,10,80+,12.231,186.486,6.558669283485087
Mujeres,10,0-9,13.495000000000001,187.577,7.194378841755652
Mujeres,10,10-19,17.128,187.577,9.131183460658823
Mujeres,10,20-29,17.524,187.577,9.342296763462473
Mujeres,10,30-39,20.486,187.577,10.921381619281682
Mujeres,10,40-49,26.184,187.577,13.959067476289738
Mujeres,10,50-59,30.335,187.577,16.172025354920912
Mujeres,10,60-69,23.982,187.577,12.785149565245204
Mujeres,10,70-79,18.784,187.577,10.014020908746806
Mujeres,10,80+,19.659,187.577,10.480496009638708
Hombres,11,0-9,58.128,593.0520000000001,9.801501386050463
Hombres,11,10-19,72.924,593.0520000000001,12.296392221929947
Hombres,11,20-29,64.726,593.0520000000001,10.914051381666361
Hombres,11,30-39,76.60499999999999,593.0520000000001,12.917079783897528
Hombres,11,40-49,99.38799999999999,593.0520000000001,16.758732792402682
Hombres,11,50-59,91.805,593.0520000000001,15.480092808050555
Hombres,11,60-69,67.225,593.0520000000001,11.335430957150464
Hombres,11,70-79,42.34,593.0520000000001,7.139340226489413
Hombres,11,80+,19.911,593.0520000000001,3.3573784423625583
Mujeres,11,0-9,54.867999999999995,603.344,9.093982868811159
Mujeres,11,10-19,69.218,603.344,11.47239385823013
Mujeres,11,20-29,60.887,603.344,10.091589540958392
Mujeres,11,30-39,75.654,603.344,12.53911533055769
Mujeres,11,40-49,96.942,603.344,16.067450741202364
Mujeres,11,50-59,92.106,603.344,15.265917950621866
Mujeres,11,60-69,70.32,603.344,11.655042562783418
Mujeres,11,70-79,49.733999999999995,603.344,8.243058686255269
