provincias;grupo_edad;sexo;poblacion_total
04 Almería;De 50 a 54 años;Hombres;22.169
04 Almería;De 50 a 54 años;Mujeres;22.072
04 Almería;De 55 a 59 años;Hombres;20.202
04 Almería;De 55 a 59 años;Mujeres;20.491
04 Almería;De 60 a 64 años;Hombres;17.377
04 Almería;De 60 a 64 años;Mujeres;17.690
04 Almería;De 65 a 69 años;Hombres;13.557
04 Almería;De 65 a 69 años;Mujeres;14.186
04 Almería;De 70 a 74 años  ;Hombres;10.927
04 Almería;De 70 a 74 años  ;Mujeres;12.574
04 Almería;De 75 a 79 años  ;Hombres;7.650
04 Almería;De 75 a 79 años  ;Mujeres;9.536
04 Almería;De 80 a 84 años  ;Hombres;5.214
04 Almería;De 80 a 84 años  ;Mujeres;7.801
04 Almería;De 85 a 89 años  ;Hombres;3.539
04 Almería;De 85 a 89 años  ;Mujeres;5.991
04 Almería;90 y más años;Hombres;1.610
04 Almería;90 y más años;Mujeres;3.245
01 Araba/Álava;De 0 a 4 años;Hombres;6.093
01 Araba/Álava;De 0 a 4 años;Mujeres;5.732
01 Araba/Álava;De 5 a 9 años;Hombres;7.983
01 Araba/Álava;De 5 a 9 años;Mujeres;7.329
01 Araba/Álava;De 10 a 14 años  ;Hombres;7.903
01 Araba/Álava;De 10 a 14 años  ;Mujeres;7.319
01 Araba/Álava;De 15 a 19 años  ;Hombres;7.198
01 Araba/Álava;De 15 a 19 años  ;Mujeres;6.757
01 Araba/Álava;De 20 a 24 años;Hombres;6.371
01 Araba/Álava;De 20 a 24 años;Mujeres;6.104
01 Araba/Álava;De 25 a 29 años;Hombres;6.072
01 Araba/Álava;De 25 a 29 años;Mujeres;5.880
01 Araba/Álava;De 30 a 34 años;Hombres;7.193
01 Araba/Álava;De 30 a 34 años;Mujeres;6.878
01 Araba/Álava;De 35 a 39 años;Hombres;9.392
01 Araba/Álava;De 35 a 39 años;Mujeres;9.285
01 Araba/Álava;De 40 a 44 años;Hombres;12.634
01 Araba/Álava;De 40 a 44 años;Mujeres;12.060
01 Araba/Álava;De 45 a 49 años;Hombres;12.937
01 Araba/Álava;De 45 a 49 años;Mujeres;12.431
01 Araba/Álava;De 50 a 54 años;Hombres;12.316
01 Araba/Álava;De 50 a 54 años;Mujeres;12.133
01 Araba/Álava;De 55 a 59 años;Hombres;11.511
01 Araba/Álava;De 55 a 59 años;Mujeres;11.971
01 Araba/Álava;De 60 a 64 años;Hombres;10.230
01 Araba/Álava;De 60 a 64 años;Mujeres;10.945
01 Araba/Álava;De 65 a 69 años;Hombres;8.833
01 Araba/Álava;De 65 a 69 años;Mujeres;9.527
01 Araba/Álava;De 70 a 74 años  ;Hombres;8.140
01 Araba/Álava;De 70 a 74 años  ;Mujeres;8.988
01 Araba/Álava;De 75 a 79 años  ;Hombres;6.298
01 Araba/Álava;De 75 a 79 años  ;Mujeres;7.182
01 Araba/Álava;De 80 a 84 años  ;Hombres;4.079
01 Araba/Álava;De 80 a 84 años  ;Mujeres;5.403
01 Araba/Álava;De 85 a 89 años  ;Hombres;2.789
01 Araba/Álava;De 85 a 89 años  ;Mujeres;4.567
01 Araba/Álava;90 y más años;Hombres;1.202
01 Araba/Álava;90 y más años;Mujeres;3.182
33 Asturias;De 0 a 4 años;Hombres;14.129
33 Asturias;De 0 a 4 años;Mujeres;13.328
33 Asturias;De 5 a 9 años;Hombres;18.154
33 Asturias;De 5 a 9 años;Mujeres;17.037
33 Asturias;De 10 a 14 años  ;Hombres;20.575
33 Asturias;De 10 a 14 años  ;Mujeres;19.569
